is_login;playback_location;platform;play_time;end_time;referrer;average_bitrate;bitrate_range;total_bytes;referrer_group;completed;player_name;has_ad;os_name;os_version;browser_name;browser_version;is_premium;play_duration;content_type;stream_type;title;category_name
FALSE;embed;web-mobile;2020-02-02T02:30:21.000Z;2020-02-02T02:41:40.000Z;http://news-id.dailyadvent.com/news/detail/c6c0d151f15a9c3276c14009e8073a4b?features=2114219&uid=29e93ca2ffe23f462cf90fbf0f947a3b28878822&like_count=0&client=mini;300000;200-500;750000;others;FALSE;videojs;TRUE;Android;9;Opera Mobile;46.0.2254;FALSE;20;vod;;Dari Jakarta Hingga Bekasi, Ini Situasi Pemukiman yang Terkena Dampak Banjir;News
FALSE;embed;web-mobile;2020-02-01T23:47:50.000Z;2020-02-01T23:50:01.000Z;https://m.dream.co.id/your-story/saat-jasadnya-dimandikan-alat-vital-gadis-sma-ini-membusuk-170905x.html?utm_source=fb&utm_medium=post&utm_campaign=fb_Vira;300000;200-500;4950000;dream;TRUE;videojs;TRUE;Android;7.1.1;Facebook;254.0.0;FALSE;132;vod;;Dari Jakarta Hingga Bekasi, Ini Situasi Pemukiman yang Terkena Dampak Banjir;News
FALSE;embed;web-desktop;2020-02-02T01:20:49.000Z;2020-02-02T01:20:49.000Z;https://www.kapanlagi.com/showbiz/selebriti/sakit-autoimun-ashanty-sudah-bikin-surat-wasiat-jika-ia-meninggal-dunia-3649dd.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Mac OS X;10.15.3;Safari;13.0.5;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T10:52:12.000Z;2020-02-02T10:52:12.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/foto-punya-anak-good-looking-banget-10-ibu-seleb-indonesia-ini-awet-muda-nan-cantik.html?utm_source=fb&utm_medium=Post&utm_campaign=fb__adie;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;7.1.1;Facebook;251.0.0;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-01T20:42:26.000Z;2020-02-01T20:42:26.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78380siraman_isyana_sarasvati-20200201-007-non_fotografer_kly.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;9;Facebook;255.0.0;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T09:42:27.000Z;2020-02-02T09:42:27.000Z;https://m-kapanlagi-com.cdn.ampproject.org/v/s/m.kapanlagi.com/amp/showbiz/hollywood/punya-3-anak-yang-unik-apa-yang-dilakukan-will-smith-selama-ini-fa1d7e.html?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCKAE%3D;600;0-200;750;kapanlagi;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-01T20:44:59.000Z;2020-02-01T20:44:59.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78318fashion_betrand_peto-20200129-010-non_fotografer_kly.html;600;0-200;750;kapanlagi;FALSE;videojs;TRUE;Android;7.0;Chrome Mobile;78.0.3904;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T13:30:20.000Z;2020-02-02T13:30:50.000Z;https://m-kapanlagi-com.cdn.ampproject.org/v/s/m.kapanlagi.com/amp/showbiz/selebriti/garis-tangan-antv-dibilang-settingan-begini-taggapan-para-host-0c345f.html?usqp=mq331AQCKAE%3D&amp_js_v=0.1;300000;200-500;750000;kapanlagi;FALSE;videojs;TRUE;Android;8.1.0;Opera Mobile;44.6.2246;FALSE;20;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T06:16:48.000Z;2020-02-02T06:16:48.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78371hidangan_yang_tersaji_di_rumah_mayangsari-20200131-003-non_fotografer_kly.html;600;0-200;750;kapanlagi;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T00:17:00.000Z;2020-02-02T00:17:00.000Z;https://m-kapanlagi-com.cdn.ampproject.org/v/s/m.kapanlagi.com/amp/plus/tata-cara-sholat-hajat-yang-mustajablengkap-dengan-doa-38-waktu-yang-dianjurkannumber-37153d.html?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCKAE%3D;500;0-200;1250;kapanlagi;FALSE;videojs;TRUE;Android;9;Chrome Mobile;78.0.3904;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T03:53:15.000Z;2020-02-02T03:53:15.000Z;https://m.kapanlagi.com/dangdut/lucinta-luna-pamer-ktp-baru-nama-ayluna-putri-dan-jenis-kelamin-perempuan-e8f2d9.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;9;Facebook;255.0.0;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T07:32:00.000Z;2020-02-02T07:32:00.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78354rumah_natalie_sarah-20200130-004-non_fotografer_kly.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;8.1.0;Facebook;251.0.0;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
FALSE;embed;web-mobile;2020-02-02T01:12:40.000Z;2020-02-02T01:12:40.000Z;https://m.kapanlagi.com/showbiz/selebriti/tak-trauma-pernah-jadi-korban-kdrt-vinessa-inez-sudah-unggah-foto-dengan-pacar-baru-4d890d.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;8.1.0;Samsung Internet;7.2;FALSE;0;vod;;Iqbaal Ramadhan & Vanesha Prescilla Kenang Masa Lalu | MILEA: SUARA DARI DILAN;Entertainment
TRUE;direct;app-android;2020-02-02T05:10:53.000Z;2020-02-02T05:11:10.000Z;search_result;300000;200-500;129300000;others;TRUE;KmkExoVideoView;TRUE;;28;;;FALSE;3448;vod;;Anak Langit - Episode 1499;TV Show
FALSE;embed;web-mobile;2020-02-02T02:40:38.000Z;2020-02-02T02:41:55.000Z;https://m.kapanlagi.com/showbiz/hollywood/jalani-hidup-sebagai-orang-biasa-meghan-markle-tertangkap-jalan-jalan-santai-sambil-gendong-baby-archie-c449f8.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook;400;0-200;1000;kapanlagi;TRUE;videojs;TRUE;Android;8.1.0;Chrome Mobile WebView;70.0.3538;FALSE;78;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;embed;web-mobile;2020-02-02T02:44:18.000Z;2020-02-02T02:45:32.000Z;https://m.kapanlagi.com/showbiz/selebriti/disebut-bakal-kaya-7-turunan-dengan-harta-peninggalan-faisal-harris-sarita-abdul-mukti-balas-beri-sindiran-menohok-cf69ba.html;400;0-200;1000;kapanlagi;FALSE;videojs;TRUE;Android;5.1.1;Chrome Mobile;66.0.3359;FALSE;70;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;embed;web-mobile;2020-02-02T08:40:33.000Z;2020-02-02T08:41:39.000Z;https://m-kapanlagi-com.cdn.ampproject.org/v/s/m.kapanlagi.com/amp/musik/berita/nih-para-musisi-indonesia-yang-sudah-punya-channel-vevo-068465.html?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCKAE%3D;600;0-200;1500;kapanlagi;FALSE;videojs;TRUE;Android;8.1.0;Chrome Mobile;76.0.3809;FALSE;66;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;embed;web-mobile;2020-02-02T13:55:20.000Z;2020-02-02T13:55:27.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78362ibu_seleb_indonesia-20200130-010-non_fotografer_kly.html;300000;200-500;300000;kapanlagi;FALSE;videojs;TRUE;Android;8.1.0;Facebook;251.0.0;FALSE;8;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;embed;web-mobile;2020-02-02T13:59:19.000Z;2020-02-02T13:59:30.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78376revi_mariska-20200201-004-non_fotografer_kly.html;300000;200-500;450000;kapanlagi;FALSE;videojs;TRUE;Android;9;Facebook;255.0.0;FALSE;12;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;embed;web-mobile;2020-02-02T08:57:56.000Z;2020-02-02T08:57:56.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78362ibu_seleb_indonesia-20200130-009-non_fotografer_kly.html;300000;200-500;0;kapanlagi;FALSE;videojs;TRUE;Android;6.0.1;Facebook;253.0.0;FALSE;0;vod;;Teddy Siap Hadapi Hasil Autopsi Lina Zubaedah Besok;Entertainment
FALSE;direct;web-mobile;2020-02-02T12:16:20.000Z;2020-02-02T12:16:38.000Z;https://m.vidio.com/live/204-sctv-tv-stream;375;0-200;14063;internal;;videojs;FALSE;Android;8.1.0;Chrome Mobile;71.0.3578;FALSE;30;livestreaming;TvStream;iNews;
TRUE;direct;app-android;2020-02-02T09:51:41.000Z;2020-02-02T09:51:48.000Z;live index;300000;200-500;5625000;others;;KmkExoVideoView;FALSE;;28;;;FALSE;15;livestreaming;TvStream;iNews;
FALSE;direct;app-android;2020-02-02T06:57:27.000Z;2020-02-02T06:57:36.000Z;livestreaming watchpage;300000;200-500;5625000;others;;KmkExoVideoView;FALSE;;27;;;FALSE;15;livestreaming;TvStream;iNews;
TRUE;direct;app-android;2020-02-02T02:00:58.000Z;2020-02-02T02:00:59.000Z;live index;300000;200-500;5625000;others;;KmkExoVideoView;FALSE;;28;;;FALSE;15;livestreaming;TvStream;iNews;
FALSE;direct;web-mobile;2020-02-02T10:58:02.000Z;2020-02-02T10:58:33.000Z;;300000;200-500;11250000;empty;;videojs;FALSE;Android;9;Samsung Internet;10.1;FALSE;30;livestreaming;TvStream;iNews;
FALSE;direct;tv-android;2020-02-02T06:03:50.000Z;2020-02-02T06:03:50.000Z;home;;unknown;0;others;;KmkExoVideoView;FALSE;;23;;;FALSE;0;livestreaming;TvStream;iNews;
TRUE;direct;app-android;2020-02-02T13:22:53.000Z;2020-02-02T13:22:54.000Z;live index;300000;200-500;22500000;others;;KmkExoVideoView;FALSE;;28;;;FALSE;60;livestreaming;TvStream;iNews;
TRUE;direct;app-android;2020-02-02T05:40:55.000Z;2020-02-02T06:56:22.000Z;home;300000;200-500;169275000;others;TRUE;KmkExoVideoView;TRUE;;27;;;FALSE;4514;vod;;FTV SCTV - Kawin Kontrak Pembawa Cinta;Movies
FALSE;embed;web-mobile;2020-02-02T04:17:43.000Z;2020-02-02T04:17:52.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/foto-punya-anak-good-looking-banget-10-ibu-seleb-indonesia-ini-awet-muda-nan-cantik.html;600;0-200;750;kapanlagi;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;10;vod;;Tunjukkan Buku Nikah, Teddy Ambil Sikap Soal Warisan Lina;Entertainment
FALSE;embed;web-mobile;2020-02-02T12:18:44.000Z;2020-02-02T12:20:23.000Z;https://m.kapanlagi.com/showbiz/selebriti/potret-ibu-mayangsari-dandan-ala-sosialita-gaul-meski-sudah-jadi-nenek-e4c9cc.html?utm_source=fb&utm_medium=post&utm_campaign=fb__ajeng;300000;200-500;3750000;kapanlagi;TRUE;videojs;TRUE;iOS;12.3.1;Facebook;;FALSE;100;vod;;Tunjukkan Buku Nikah, Teddy Ambil Sikap Soal Warisan Lina;Entertainment
FALSE;embed;web-mobile;2020-02-02T00:07:33.000Z;2020-02-02T00:09:12.000Z;https://m.kapanlagi.com/foto/berita-foto/indonesia/78377twinawati_ibu_yuki_kato-20200201-001-non_fotografer_kly.html;600;0-200;750;kapanlagi;TRUE;videojs;TRUE;Android;6.0.1;Chrome Mobile;79.0.3945;FALSE;100;vod;;Tunjukkan Buku Nikah, Teddy Ambil Sikap Soal Warisan Lina;Entertainment
FALSE;embed;web-mobile;2020-02-02T12:07:05.000Z;2020-02-02T12:08:44.000Z;https://m.kapanlagi.com/amp/showbiz/selebriti/nagita-slavina-harus-lakukan-6-hal-ini-setiap-pagi-cuci-pakaian-dalam-beri-susu-rafathar-4fd51d.html?utm_source=ampfeed&utm_medium=feed&utm_campaign=babe;600;0-200;3000;kapanlagi;TRUE;videojs;TRUE;Android;8.1.0;Chrome Mobile WebView;70.0.3538;FALSE;100;vod;;Tunjukkan Buku Nikah, Teddy Ambil Sikap Soal Warisan Lina;Entertainment
FALSE;embed;web-mobile;2020-02-02T02:41:51.000Z;2020-02-02T02:42:10.000Z;https://news-id.beritabuzz.com/news/detail/f677acdd7ad3dc15ad0457589865d664?features=2097323&uid=c52d6716f2713f4290f82a9ff5599b5f61018822&like_count=0&client=mini;300000;200-500;487500;others;FALSE;videojs;TRUE;Android;8.1.0;Opera Mobile;43.3.2254;FALSE;13;vod;;Raja Keraton Agung Sejagat Pernah Tinggal di Bantaran Rel;News
FALSE;embed;web-mobile;2020-02-02T06:10:29.000Z;2020-02-02T06:10:29.000Z;https://m.liputan6.com/ucnews/4150345/kemenkeu-siapkan-dana-talangan-demi-amankan-laut-natuna?utm_source=Digital+Marketing&utm_medium=Partnership&utm_campaign=ucnews&uc_news_item_id=1063988737162982&uc_news_app=browser_iflow;300000;200-500;0;liputan6;FALSE;videojs;TRUE;Android;8.1.0;UC Browser;12.12.6;FALSE;0;vod;;Detik-Detik Kapal TNI Ditabrak Kapal Vietnam;News
TRUE;direct;tv-tizen;2020-02-02T04:44:26.000Z;2020-02-02T04:44:29.000Z;home;300000;200-500;5625000;others;;;FALSE;;4.0;Mozilla/5.0 (SMART-TV;;;;;;;
FALSE;direct;web-mobile;2020-02-02T16:27:50.000Z;2020-02-02T16:28:23.000Z;https://m.vidio.com/live;375;0-200;21094;internal;;videojs;FALSE;Android;7.0;Chrome Mobile;79.0.3945;FALSE;45;livestreaming;TvStream;TVRI;
TRUE;direct;tv-android;2020-02-02T02:07:41.000Z;2020-02-02T02:11:12.000Z;;300000;200-500;84375000;empty;;KmkExoVideoView;FALSE;;28;;;FALSE;225;livestreaming;TvStream;TVRI;
FALSE;embed;web-mobile;2020-02-02T12:03:37.000Z;2020-02-02T12:03:37.000Z;https://m.bola.net/bundesliga/erling-haaland-3-laga-136-menit-7-shots-on-target-7-gol-f2e7be.html;300000;200-500;0;bolanet;FALSE;videojs;TRUE;Android;8.0.0;Chrome Mobile;79.0.3945;FALSE;0;vod;;Bayern Munchen Resmi Dapatkan Bek Real Madrid;Sports
FALSE;direct;app-android;2020-02-02T13:12:57.000Z;2020-02-02T13:12:57.000Z;android-app://com.vidio.android;300000;200-500;7575000;others;FALSE;KmkExoVideoView;TRUE;REL;Build.VERSION.CODENAME (28);;;FALSE;202;vod;;Samudra Cinta - Episode 98 dan 99 Part 2/2;TV Show
TRUE;embed;web-desktop;2020-02-01T18:45:50.000Z;2020-02-01T18:45:50.000Z;https://www.vidio.com/dashboard/videos/1889061-milea-suara-dari-dilan/edit?back_to=%2Fdashboard%2Fvideos;900;0-200;1125;internal;FALSE;videojs;FALSE;Windows;7;Chrome;79.0.3945;FALSE;0;vod;;Milea Suara dari Dilan;Vlog
TRUE;direct;app-android;2020-02-02T02:41:11.000Z;2020-02-02T02:41:11.000Z;search_result;300000;200-500;0;others;FALSE;KmkExoVideoView;TRUE;;23;;;FALSE;0;vod;;Samudra Cinta - Episode 116 dan 117 Part 2/2;TV Show
FALSE;embed;web-mobile;2020-02-01T17:58:00.000Z;2020-02-01T17:58:25.000Z;https://m.bola.net/spanyol/man-of-the-match-real-madrid-vs-atletico-madrid-karim-benzema-a5bdde.html;600;0-200;1500;bolanet;TRUE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;25;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-02T11:54:27.000Z;2020-02-02T11:54:51.000Z;https://m.bola.net/spanyol/hasil-pertandingan-real-madrid-vs-atletico-madrid-skor-1-0-d26a0d.html;600;0-200;1500;bolanet;TRUE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;25;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-01T17:12:34.000Z;2020-02-01T17:12:47.000Z;https://m.bola.net/spanyol/hasil-pertandingan-real-madrid-vs-atletico-madrid-skor-1-0-d26a0d.html;600;0-200;750;bolanet;FALSE;videojs;TRUE;Android;8.0.0;Chrome Mobile;75.0.3770;FALSE;13;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-01T23:54:07.000Z;2020-02-01T23:55:01.000Z;https://m.bola.net/spanyol/barcelona-menang-5-0-quique-setien-beri-respon-dingin-c4b20c.html?utm_source=fb&utm_medium=post&utm_campaign=fb__iyok;300000;200-500;787500;bolanet;FALSE;videojs;TRUE;Android;5.0.2;Facebook;226.0.0;FALSE;21;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-02T00:46:29.000Z;2020-02-02T00:46:57.000Z;https://news-id.beritabuzz.com/news/detail/9a82808cfc9569145ee28cbaf159c99f?features=2097323&client=mini&uid=9c4fe68ffb360f4926fb045fb9531fe635a38822&like_count=2;300000;200-500;37500;others;FALSE;videojs;TRUE;Android;7.1.1;Opera Mobile;44.1.2254;FALSE;1;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-desktop;2020-02-01T17:13:14.000Z;2020-02-01T17:13:15.000Z;https://www.bola.net/spanyol/hasil-pertandingan-real-madrid-vs-atletico-madrid-skor-1-0-d26a0d.html;600;0-200;1500;bolanet;FALSE;videojs;TRUE;Windows;10;Chrome;79.0.3945;FALSE;1;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-01T22:11:37.000Z;2020-02-01T22:12:07.000Z;https://m.bola.net/spanyol/casemiro-vs-morata-madrid-harusnya-dihukum-penalti-e7c585.html?_gl=1*1ab03eg*_ga*YW1wLXJnaHV2NS10alNrUV9PYWlOczh6Wmc.;300000;200-500;937500;bolanet;TRUE;videojs;TRUE;Android;6.0.1;Opera Mobile;45.0.2254;FALSE;25;vod;;Jadwal La Liga Pekan 22, Big Match Real Madrid Vs Atletico Madrid;Sports
FALSE;embed;web-mobile;2020-02-02T16:43:38.000Z;2020-02-02T16:43:54.000Z;https://m.bola.com/indonesia/read/4168997/3-klub-indonesia-ini-layak-menyandang-status-los-galacticos-liga-1-2020;500;0-200;1250;bola;FALSE;videojs;TRUE;Android;7.0;Chrome Mobile WebView;79.0.3945;FALSE;12;vod;;Sunset Roller Date, Berolahraga Ala Tren 80-an;Sports
FALSE;embed;web-mobile;2020-02-02T14:59:34.000Z;2020-02-02T15:00:03.000Z;https://m.otosia.com/berita/harga-suzuki-swift-kln.html;600;0-200;1500;otosia;FALSE;videojs;TRUE;Android;9;Chrome Mobile;72.0.3626;FALSE;30;vod;;Muatan Truk Trailer Hantam JPO di Matraman;News
FALSE;embed;web-mobile;2020-02-01T20:33:09.000Z;2020-02-01T20:34:24.000Z;https://m.otosia.com/berita/pertamina-buka-suara-soal-b30-mengendap.html?utm_source=Pertamina+Buka+Suara+Soal+B30+Mengendap&utm_medium=Line+Recommended+click&utm_campaign=Line+Today+Recommended;300000;200-500;2775000;otosia;TRUE;videojs;TRUE;Android;9;LINE;10.1.1;FALSE;74;vod;;Muatan Truk Trailer Hantam JPO di Matraman;News
FALSE;embed;web-mobile;2020-02-02T15:02:24.000Z;2020-02-02T15:02:40.000Z;https://m.otosia.com/berita/harga-yamaha-nmax-review-spesifikasi-dan-simulasi-kredit-terbaru-mei-2018-kln.html;300000;200-500;262500;otosia;FALSE;videojs;TRUE;Android;7.1.1;UC Browser;12.13.2;FALSE;7;vod;;Muatan Truk Trailer Hantam JPO di Matraman;News
FALSE;embed;web-mobile;2020-02-02T02:27:43.000Z;2020-02-02T02:27:43.000Z;https://m.otosia.com/berita/daftar-spesifikasi-dan-harga-klx-2017-terlengkap-kln.html;300000;200-500;0;otosia;FALSE;videojs;TRUE;Android;9;MiuiBrowser;11.4.3;FALSE;0;vod;;Muatan Truk Trailer Hantam JPO di Matraman;News
FALSE;embed;web-mobile;2020-02-02T10:07:54.000Z;2020-02-02T10:08:36.000Z;https://m.liputan6.com/bola/read/4089242/pegulat-cantik-wwe-ini-sebut-kencan-dengan-penari-lebih-baik-dari-john-cena;300;0-200;750;liputan6;FALSE;videojs;TRUE;Android;8.1.0;Chrome Mobile;78.0.3904;FALSE;41;vod;;#OneShot: Detik-detik Rooney Tampar Pegulat WWE;News
FALSE;embed;web-mobile;2020-02-02T07:29:11.000Z;2020-02-02T07:29:41.000Z;https://m.merdeka.com/trending/kocak-nama-alamat-sama-anggota-tni-malah-boncengi-ojol-yang-dipesannya.html;500;0-200;1250;merdeka;TRUE;videojs;TRUE;Android;9;Chrome Mobile WebView;71.0.3578;FALSE;29;vod;;Pria Dikurung Warga dalam Rumah Sepulang dari Wuhan;News
FALSE;embed;web-mobile;2020-02-02T09:47:55.000Z;2020-02-02T09:48:14.000Z;https://m.merdeka.com/sehat/7-cara-mempercepat-selesai-haid-kln.html;600;0-200;1500;merdeka;FALSE;videojs;TRUE;Android;9;Chrome Mobile;79.0.3945;FALSE;19;vod;;Pria Dikurung Warga dalam Rumah Sepulang dari Wuhan;News
FALSE;embed;web-mobile;2020-02-02T01:43:06.000Z;2020-02-02T01:43:50.000Z;https://m.merdeka.com/artis/10-potret-kamar-nia-ramadhani-di-rumah-dulu-dan-sekarang-beda-banget.html;300000;200-500;825000;merdeka;FALSE;videojs;TRUE;Android;7.1.1;Facebook;250.0.0;FALSE;22;vod;;Pria Dikurung Warga dalam Rumah Sepulang dari Wuhan;News
